Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
1105,SRI MUNESHWARA TEMPLE AYUR-YOGA AND NATURE CURE HOSPITAL FOUNDATION,U86100KA2023NPL173257,Section 8 Company,"ST NO. 5/2 KH NO. 5/2 BALAGERE ROAD VARTHUR Vartur Bangalore North Bangalore KA 560087 IN , VARTUR, BENGALURU URBAN (Karnataka) - 560087","Animal Husbandry, Dairying & Fisheries, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare",ALL,ganeshyogi3g@gmail.com,
1106,SRI NANDI EDUCATION TRUST,416,Trust,"SRI NANDI EDUCATION TRUST NO.14,7TH A CROSS,BALAJINAGAR, THIGALARAPALYA MAIN ROAD PEENYA 2ND STAGE BANGALORE 560058 , BANGALORE, BENGALURU URBAN (Karnataka) - 560058","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues",ALL,srinandiedu@gmail.com,http://srinandieducationtrust.org/
1107,SRI PALA VRUDDI MUNESHWARA CHOWDESHWARI SEVA TRUST,DSP-4-00114-2020-21,Trust,"1, AYYAPA SWAMI TEMPLE ROAD,, JALAHALLI CROSS, , JALAHALLI WEST, BENGALURU URBAN (Karnataka) - 560015","Differently Abled, Rural Development & Poverty Alleviation",ALL,lakshmanasps@gmail.co,
1108,SRI RENUKA CHARITABLE TRUST,4000089,Trust,"Mayasandra Attibele Hobali, Anekal Taluk BANGALORE562107 , BANGALORE, BENGALURU URBAN (Karnataka) - 562107","Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues",ALL,srirenukacharitabletrust2007@gmail.com,
1109,SRI RENUKA YELLAMMA DEVI CHARITABLE TRUST,377/25-26,Trust,"No.39/3, 2nd Floor, 5th Cross, Vallabhanagar, Max Showroom Opposite Road, Uttarahalli, , Bengaluru South, BENGALURU URBAN (Karnataka) - 560061","Agriculture, Children, Differently Abled, Education & Literacy, Aged/Elderly",BENGALURU URBAN,srydctrust@gmail.com,
1110,SRI SADGURU AADHAR FOUNDATION,JAY-4-00663-2023-24,Trust,"Gottegere village, Uttarahalli Hobli, Bangalore South Taluk 560083 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560083","Children, Differently Abled, Aged/Elderly, Health & Family Welfare, Nutrition",BENGALURU URBAN,mb.vinay@yahoo.com,
1111,Sri Sai Darshanam Trust,BNG(U)KNGR/329/2003-04,Trust,"CA 2 MS Ramaiah City JP Nagar 8th Phase , Bangalore, BENGALURU URBAN (Karnataka) - 560076","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Differently Abled",ALL,jaimurthy6@gmail.com,
1112,SRI SAI HARISHA FOUNDATION TRUST,441/2018-19,Trust,"NO,4 FIRST MAIN, M G ROAD, OPP. BUS STANDUTTARAHALLI, SUBRAMANIYAPURAM POST, BANGALORE560061 , BNAGALORE, BENGALURU URBAN (Karnataka) - 560061","Art & Culture, Children, Differently Abled, Drinking Water, Education & Literacy",ALL,gayathriprabhu1991@gmail.com,
1113,SRI SAI KARUNAMAYI DEVA CHARITABLE TRUST,DITEBLR/12AA/S-2544/AAMTS6329Q/ITOE-3,Trust,"site no 28 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560026","Children, Education & Literacy, Food Processing",BENGALURU URBAN,SSKDEVATRUST@GMAIL.COM,https://www.saikarunamayi.org/
1114,Sri Sai Spiritual Centre Trust,TRUST/718/10A/VOLBII/S-581/94/,Trust,"63/7, Sai Baba Mandir Road, 1 Block,Thyagarajanagar, Thyagaraja Nagar, Basavanagudi , Bangalore, BENGALURU URBAN (Karnataka) - 560028","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,Saimandirtrnagar@gmail.com,http://www.srisaispiritualcentre.org/
1115,SRI SAI SPORTS & CULTURAL ASSOCIATION,RJN-4-00468-2021-22,Trust,"No 636 7th Main Road D group layout Bangalore 560091 , bangalore, BENGALURU URBAN (Karnataka) - 560091","Art & Culture, Children, Differently Abled, Aged/Elderly, Environment & Forests",ALL,ssca.ngo.office@gmail.com,
1116,Sri Samrudhi Foundation,BNS-4-00216-2020-21,Trust,"No.S1, 2nd Floor, Sai Sagas Apartment, 7th Cross, Akshaya Nagar bust stand, Akshaynagar, Bengaluru - 560016 , Bangalore, BENGALURU URBAN (Karnataka) - 560016","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,Info.ssfoundation25@gmail.com,
1117,SRI SANJEEVINI FOUNDATION,ABCTS1029GE20221,Trust,"No 95 18th main road J C Nagar Kurubarahalli Mahalakshmipuram Layout S.O BANGALORE Karnataka , BANGALORE, BENGALURU URBAN (Karnataka) - 560086","Children, Civic Issues, Differently Abled, Education & Literacy, Aged/Elderly",ALL,seenisrinivas987@gmail.com,
1118,Sri Sarvagnya Seva Sangha,402/21-22,Trust,"No 5/199, Ground Floor, 7th Cross, SBM Colony, Banashankari - 1st Stage , Bengaluru South, BENGALURU URBAN (Karnataka) - 560050","Children, Civic Issues, Education & Literacy, Aged/Elderly, Environment & Forests",BENGALURU URBAN,sarvagnyaseva@gmail.com,
1119,SRI SATHNUR K KEMPAIYA & SNT HANUMAKKA KEMPAIYA MEMORIAL TRUST,BK/IV/117/2008-09,Trust,"NO 374, 13th Main, R.M.V Extension, Bangalore - 560080 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560080","Differently Abled, Education & Literacy",BENGALURU URBAN,br.maruthi@gmail.com,
1120,SRI SATHYAPOORNA RESEARCH FOUNDATION,BSK-4-00472-2018-19,Trust,"48, Gulabi Raste, Near Shakarnag Circle, Vinayakanagar, Srinivasanagar, Bengaluru South, Banashankari. , Bengaluru, BENGALURU URBAN (Karnataka) - 560050","Art & Culture, Children, Differently Abled, Drinking Water, Education & Literacy",ALL,namannavar.vk@gmail.com,
1121,Sri Shanga Adhyaatmika Prathistana,RJN-4-00510-2020-21,Trust,"#18/1,19th A main,Sri Datta Nilaya, Muneshwara Block, Bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560026","Art & Culture, Children, Education & Literacy, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,soumya.ng21@gmail.com,
1122,Sri Sharada Devi Welfare Trust,BNG(U)SHR -4-00060 /2010-11,Trust,"Sri Sharada Devi Welfare Trust,No 68/31, I Main,10th Cross,Bharati Layout, S G Palya,Bangalore 560 029 , Karnaaka. , Bangalore, BENGALURU URBAN (Karnataka) - 560029","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,sswtngo123@gmail.com,
1123,SRI SHATHASHRUNGA VIDYA SAMSTHE,KSR 43/88-89 Trust 92/99-2000,Society,"CENTRAL OFFICE: SRI SHIRDI SAI MANDIR PREMISES, BEHIND KAMAKSHIPALYA POLICE STATION , MAGADI MAIN ROAD, BANGALORE-560079, KARNATAKA , BANGALORE, BENGALURU URBAN (Karnataka) - 560079","Differently Abled, Aged/Elderly",ALL,saissvs@gmail.com,http://www.saissvs.org/
1124,SRI SHIRADI SAI SEVA TRUST,PAG 3 DOCS 48/2018-19,Trust,"8G, S.G.S. PARK VIEW APARTMENT, 3RS BLOCK NARAYANA NAGAR, NEAR MUNESHWARA TEMPLE, KANAKAPURA MAIN ROAD, DODDAKALLASANDRA, BENGALURU, KARNATAKA-560062 , BENGALURU, BENGALURU URBAN (Karnataka) - 560062","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,nagabharanab@gmail.com,
1125,sri shirdi sai vasavi charitable trust (r),BKIV603/2014-15,Trust,"No 85, 1st floor, GR complex, 3rd main,1st cross, New Thargupet, Bangalore - 560002 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560002","Art & Culture, Children, Dalit Upliftment, Differently Abled, Aged/Elderly",BENGALURU URBAN,shirdivasaviblr@gmail.com,
1126,SRI SIDDAGANGA CHARITABLE TRUST,YPR/4/00148/2023-24,Trust,"No.90/C, 1st MAIN, 4th CROSS, 6th PHASE, WOC ROAD, MAHAGANAPATHINAGARA, BANGALORE- 560010 , BANGALORE, BENGALURU URBAN (Karnataka) - 560010","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,ssct061323@gmail.com,
1127,SRI SIDDI VINAYAKA TEMPLE TRUST,MDLD429,Trust,"No.36, Site No.49, Lakshmipura Villlage, Dasanapura Hobli, Bangalore North 562162 , Bengaluru North, BENGALURU URBAN (Karnataka) - 562162",Art & Culture,BENGALURU URBAN,ramus1670@gmail.com,
1128,SRI SRI PADAVETTAMBIGAI DEVASTHANAM AND SRI BV SABHA CHARITABLE TRUST,SHV-4-00712-2017-18,Trust,"NO.5, DEVASTHANAM STREET, ASHOK NAGAR, OPP BANGALORE FOODBALL STADIUM, BENGALURU560025 , BENGALURU, BENGALURU URBAN (Karnataka) - 560025","Art & Culture, Children, Civic Issues, Differently Abled, Drinking Water",ALL,gautham1373310@gmail.com,
1129,SRI SRI SRI DATTAGURU SADANANDA MAHARAJARA YUVAKARA BHAKTHA SEVA MANDALI,DRB1/SOR/677/2017-18,Society,"NO 5 2ND CROSS DEVINAGAR LOTTEGOLLAHALLI MAIN ROAD BANGALORE ZONE 1 BANGALORE , Bengaluru North, BENGALURU URBAN (Karnataka) - 560094","Art & Culture, Disaster Management, Aged/Elderly, Environment & Forests, Animal Welfare",ALL,sedskgf@gmail.com,
1130,SRI SRI SRI GOVINDAPPASWAMY SEVA TRUST (R),Bk 111/25-26,Trust,"NO 36/2 , Ganapathi Nagar, Near shusthi School, Acchut Nagar ,chikkabhanavara ,Bangaluru-560107 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560107","Dalit Upliftment, Differently Abled, Education & Literacy, Rural Development & Poverty Alleviation",BENGALURU URBAN,htswamy.manju@gmail.com,
1131,Sri Vaishnavi Devasthanam Trust,BNG(U)YLNK/217/2003-04,Trust,"No 15, 1st Main, 1st cross, Chinappa Layout, Kempapura, Hebbal, Bangalore -560024 , Bangalore, BENGALURU URBAN (Karnataka) - 560024","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues",ALL,srivaishnavict@gmail.com,https://www.svkdd.org/
1132,SRI VASAVI CHARITABLE TRUST,BSK-4-00467-2025-26,Trust,"No.181, Ground Floor, 2nd Cross, Water Tank Road, Yadalam Nagara, Subramanyapura Post, Uttarahalli, Bengaluru , Bengaluru South, BENGALURU URBAN (Karnataka) - 560061","Children, Differently Abled, Aged/Elderly",BENGALURU URBAN,srivasavicharitabletr@gmail.com,
1133,SRI VEENA VANI EDUCATION CULTURE AND DEVELOPMENT TRUST,IV/630/2003,Trust,"1531, 27TH CROSS, 25TH MAIN BANASHANKARI, 2ND STAGE, BANGALORE-560070 KARNATAKA , BANGALORE, BENGALURU URBAN (Karnataka) - 560070","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,Sriveenavani@gmail.com,
1134,SRI VEL MURUGAN CHARITABLE TRUST,176/25-26,Trust,"No.47, 5th Cross, Magadi Main Road, , Bengaluru South, BENGALURU URBAN (Karnataka) - 560023","Agriculture, Children, Differently Abled, Education & Literacy, Aged/Elderly",ALL,sri.vmctrust@gmail.com,
1135,Sri Vinayaka CharitableTrust,224/2014-15,Trust,"No 68680Feet Main Raod 14th Cross MCECHS Layout Bangalore PIN 560077 , Bangalore, BENGALURU URBAN (Karnataka)","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,vinayakacharitabletrust@gmail.com,
1136,SRI VINAYAKA EDUCATION SOCIETY,786/2000-01,Society,"NO 1369,4TH CROSS, NEAR VINAYAKA HOSPITAL,CHANDRA LAYOUT,BANGALORE. , BANGALORE CITY, BENGALURU URBAN (Karnataka) - 560040",Differently Abled,ALL,sves2001@gmail.com,
1137,SRI VISVAVASU VAIDIK SHIKSHANA SAMSTHANA FOUNDATION,U85499KA2025NPL204924,Section 8 Company,"NO-15/1, 2Nagadasanahalli, Yelahanka, SINGANAYAKANAHALLI AMANIKERE, Bengaluru HQ, KARNATAKA - 560064 , Yelahanka, BENGALURU URBAN (Karnataka) - 560064","Children, Differently Abled, Disaster Management, Education & Literacy, Aged/Elderly",BENGALURU URBAN,rudraprasad11@gmail.com,
1138,Srinivasa Trust,DIT(E)BLR/80G(R)/101/AABTS8147,Trust,"7/21, IST CROSS 9TH MAIN RAJAMAHAL VILAS EXTN , BANGALORE, BENGALURU URBAN (Karnataka) - 560080","Art & Culture, Children, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,info@vims.ac.in,
1139,SRIRAMANENI FOUNDATION,YAN-4-00739-2024-25,Trust,"no.35, venkateshwaranilaya, near sambbhram college, chowdappa layout, 1st cross, doddabettahalli main road, vidyaranyapura post, bangalore-560097 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560097","Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Skill Development",BENGALURU URBAN,jayashreegroups@gmail.com,
1140,Sriratana Charitable Trust,ABDTS5858AE20221,Trust,"No. 1A, RKHBCS, 18th Main Road, Padmanabhanagara, Bengaluru - 560070 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560070","Children, Education & Literacy, Women's Development & Empowerment",BENGALURU URBAN,ravishankarrajgopal@yahoo.com,
1141,SRISHTI CHARITABLE TRUST,BNS-4-00482-2017-18,Trust,"No 273/1 2nd B Cross Dr A P J Adbul Kalam Road NRI Layout Phase -2 Kalkeri , Bangalore, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled, Education & Literacy, Environment & Forests, Health & Family Welfare",ALL,srishticharitabletrust@gmail.com,
1142,SRISHTI CULTURAL ASSOCIATION,DRB-3/SOR/330/2017-18,Trust,"SRISHTI CULTURAL ASSOCIATION DLF Westend Heights, DLF Newtown Akshayanagar Bengaluru 560068 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560068","Art & Culture, Religious",BENGALURU URBAN,srishticulturalassociation@gmail.com,
1143,SRPS CHARITABLE TRUST,BKIV405/95-96,Trust,"t No.4/1, Dewan Madhava Rao Road, Basavanagudi, Bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560004","Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Aged/Elderly",BENGALURU URBAN,ngosvgs@gmail.com,
1144,ST FRANCIS ASSISSI TRUST,BK-IV-117/17-18,Trust,"St Francis Assisi Church, Kacharakanahalli, Hennur Main Road, St Thomas Town, , Bangalore, BENGALURU URBAN (Karnataka) - 560084","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,judsonmmb@gmail.com,
1145,ST MARY TRUST,BK-IV222/2012-13,Trust,"CMI Ashram, C/o Kristu Jayanti College, K Narayanapura, Kothanur Post , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Art & Culture, Children, Differently Abled, Health & Family Welfare",ALL,stmarychurchkothanur@gmail.com,
1146,ST PAULS BAPTIST CHURCH,220,Trust,"97 Munirangappa Lane, Ramachandrapura Jalahalli, Jalahalli H.O, Bangalore North, BANGALORE , Bengaluru North, BENGALURU URBAN (Karnataka) - 560013","Children, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests",BENGALURU URBAN,bm032096@gmail.com,
1147,ST SEBASTIANS CHURCH PARISH TRUST,BNG U SHR 48 2011 12,Trust,"14, ST SEBASTIANS CHURCH, 5TH CROSS, ANEPALYA ADUGODI , Bengaluru South, BENGALURU URBAN (Karnataka) - 560030","Health & Family Welfare, Minority Issues, Women's Development & Empowerment, Youth Affairs, Religious",BENGALURU URBAN,jkunnathcmi@gmail.com,https://www.mandyadiocese.org/parishes/anepalaya-st-sebastians-church/
1148,ST XAVIERS EDUCATIONAL AND CHARITABLE TRUST,GNR-4-00073-2017-18,Trust,"No.158/S1,2nd Floor, above Syndicate Bank, Police Stataion, near Sanjay Nagar, Bengaluru, Karnataka 560094 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560094",Education & Literacy,ALL,samsheerkv@gmail.com,
1149,STAR EDUCATIONAL TRUST,HBB-4-00193-2022-23,Trust,"252, Sadiq BDA Layout, Saw Mill Road, Sarai Palya, Thanisandra Main Road, , Bengaluru North, BENGALURU URBAN (Karnataka) - 560077","Art & Culture, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,stareducationaltrust2022@gmail.com,https://www.starseducationalacademy.com/
1150,STEM,354/87-88,Society,"11 , Bangalore, BENGALURU URBAN (Karnataka) - 560034","Agriculture, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests",ALL,srikumar@stemgroup.org,
1151,STICHTING TERRE DES HOMMES FOUNDATION,U85300KA2018NPL118595,Section 8 Company,"194, TRPT Bhavan, Atma Vidya Nagar, Gubbi Road, Byrathi, Kothanur , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Children, Differently Abled, Disaster Management, Education & Literacy, Health & Family Welfare",ALL,hello@stdh.in,http://www.stdh.in/
1152,STRATEGIC POLICY INSTITUTE,31/2023-24,Trust,"178, Basement Room No:1, Nirmala Arcade, R T Nagar Main Road, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560032","Agriculture, Art & Culture, Civic Issues, Dalit Upliftment, Differently Abled",ALL,director.spi@yahoo.com,
1153,STREESHAKTHI MAHILA FOUNDATION,DRB4/SOR/111/2018-2019,Society,"No.15, Doddagollarahatti, Nagadevanahalli,Kengeri Upanagar, Bangalore560060 , Bangalore, BENGALURU URBAN (Karnataka) - 560060","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,ssmf2768@gmail.com,
1154,strikalpa foundation,SHR-4-00360-2018-19,Trust,"No 43/2 SWASTHI ROAD 3rd CROSS SHANTHI NAGAR BANGALORE 560027 , BANGALURU, BENGALURU URBAN (Karnataka) - 560027","Animal Husbandry, Dairying & Fisheries, Children, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,strikalpafoundation@gmail.com,
1155,SUBRAMANYA SEVA SAMITHI,5742,Trust,"13TH MAIN 100 FEET ROAD HAL II STAGE BANGALORE , Bengaluru East, BENGALURU URBAN (Karnataka) - 560038","Art & Culture, Education & Literacy, Health & Family Welfare, Women's Development & Empowerment, Religious",BENGALURU URBAN,secretarysubramanyasevasamiti@gmail.com,https://ngodarpan.gov.in/www.ndkkalyanamandira.in
1156,SUJAM FOUNDATION,U85300KA2021NPL155194,Section 8 Company,"127 SURYODHAYA LAYOUT, JAKKUR, BANGALORE , BANGALOE, BENGALURU URBAN (Karnataka) - 560077","Agriculture, Children, Differently Abled, Drinking Water, Education & Literacy",ALL,sanathm10@icloud.com,
1157,SUKHIBAVA FOUNDATION,1044-A/2022-23,Trust,"No 1487/A, 2nd Floor, K S Ramaswamy, 3rd Cross, L N Reddy Garden, Bangalore , Bengaluru East, BENGALURU URBAN (Karnataka) - 560084","Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Differently Abled, Aged/Elderly",BENGALURU URBAN,sukhibava.blr@gmail.com,
1158,SUMA SEVA SAMITI,BK5622023-24,Trust,"No 963, Ground Floor, 9th Main, 10th Cross, BEML 3rd Stage, Rajarajeshwarinagar, Bengaluru560098 , BANGALORE, BENGALURU URBAN (Karnataka) - 560098","Civic Issues, Differently Abled, Education & Literacy, Aged/Elderly, Food Processing",ALL,thirupathibabu@gmail.com,
1159,Sumanahalli LRTC,121/77-78,Society,"Sumanahalli LRTC Vishwaneedam Post, Magadi Road,Bangalore.Pin: 560091 , Bangalore, BENGALURU URBAN (Karnataka) - 560091","Children, Differently Abled, Education & Literacy, Health & Family Welfare, Housing",ALL,directorsumanahalli@gmail.com,
1160,SUMbhavami Souhardha Co-operative Ltd,RCS/RSR/SO/REG/97/4391/2018-19,Society,"no 1045, 14th main avalahalli main road srinagar , bangalore, BENGALURU URBAN (Karnataka) - 560050","Differently Abled, Drinking Water, Education & Literacy, Aged/Elderly, Food Processing",ALL,vp@sumbhavami.com,http://www.sumbhavami.com/
1161,SUNDAR TRUST,3240/48,Trust,"206, 1ST MAIN ROAD, 1ST BLOCK, 2ND STAGE, WEST OF CHORD ROAD, RAJAJI NAGAR, BANGALORE560086, KARNATAKA , Bangalore, BENGALURU URBAN (Karnataka) - 560086","Agriculture, Animal Husbandry, Dairying & Fisheries, Differently Abled, Education & Literacy, Environment & Forests",ALL,poondys@yahoo.com,
1162,SUNRISE CHARITABLE AND EDUCATIONAL SOCIETY,749/18-19,Society,"Chikkagubbi Village, Doddagubbi Post, Hennuru Main Road, Bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560077","Children, Differently Abled, Education & Literacy, Food Processing, Health & Family Welfare",BALLARI,srdreddys@gmail.com,
1163,SUNSHINE DISABLED WELFARE TRUST,SHR-4-00375-2025-26,Trust,"# 8, G CROSS, MADAR SAB LAYOUT NEW GURUPANAPALYA, DRC POST, BANGALORE-560029 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560029",Differently Abled,BENGALURU URBAN,aisha.triyan@gmail.com,
1164,SURABHI FOUNDATION,IV486 2022-23,Trust,"VASAVI TEMPLE COMPOUND VASAVI MAHAL ROAD K R PURAM, BENGALURU-560036 , BENGALURU, BENGALURU URBAN (Karnataka) - 560036","Animal Husbandry, Dairying & Fisheries, Dalit Upliftment, Differently Abled, Education & Literacy, Aged/Elderly",ALL,surabhifoundation2023@gmail.com,
1165,SURYA CHARITABLE TRUST,ABLTS7232E,Trust,"NO 64, SURYA NILAYA, RAJU LAYOUT, NAGADEVANA HALLI, GNANA BARATHI POST , Bengaluru North, BENGALURU URBAN (Karnataka) - 560056",Differently Abled,BENGALURU RURAL,akshaymallik34@gmail.com,
1166,Susila Nanduri Srinivas Charitable Trust,SHR-4-00550-2024-25,Trust,"E 205, Parimala Sunridge, Opp DMart, Siddhapura, Whitefield, Bangalore , Bengaluru East, BENGALURU URBAN (Karnataka) - 560066","Children, Differently Abled, Education & Literacy, Rural Development & Poverty Alleviation, Tourism",BENGALURU URBAN,SusilaNanduriTrust@gmail.com,
1167,Suyog Sewa Sansthan,RG0725000020309230,Trust,"90/2B,13th cross Road,Remco BHEL Layout 9th block, Rajarajeshwari Nagar, Bengaluru, Karntaka- 560098 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560098","Art & Culture, Education & Literacy, Health & Family Welfare, Women's Development & Empowerment, Skill Development",BENGALURU URBAN,suyogsewasansthan@gmail.com,
1168,SWAASTHYA AAROGYA FOUNDATION,No.152/2008-09,Trust,"No 6 BCIE 5th Main Road Okalipuram , Bangalore, BENGALURU URBAN (Karnataka) - 560021","Differently Abled, Aged/Elderly, Health & Family Welfare, Nutrition",ALL,drprathiba@swaasthyaaarogya.org,
1169,SWAMY VIVEKANANDA AROGYA MATTHU SAAMAJIKA SEVA TRUST,CMP-4-00172-2008-09,Trust,"#1-C/4-B JP ROAD 1ST PHASE BEHIND CANARA BANK GIRINAGAR , Bengaluru South, BENGALURU URBAN (Karnataka) - 560085","Agriculture, Differently Abled, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation",ALL,kmnanjundeshwara@gmail.com,
1170,swanthana daughters of stcamillus,KA180035X61K,Society,"SWANTHANA, Centre for mentally physically challenged female children. daughters of st.camillus,Ambedkar nagar, Carmalaram post.Sarjapur road. Bangalore -560035 , Carmalaram, BENGALURU URBAN (Karnataka)","Differently Abled, Education & Literacy, Aged/Elderly",ALL,assumvilla2019@gmail.com,http://swanthana.org/
1171,Swarnamba Memorial Charitable Trust,203/15-16,Trust,"75, Sukruta, 1st Main Manasanagar, Nagarbhavi Bengaluru 560072 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560072","Art & Culture, Education & Literacy, Health & Family Welfare, Religious",BENGALURU URBAN,hoo.krishna@gmail.com,
1172,Swasthi Foundation,DRB1/SOR/526/2018-2019,Trust,"No 32, N T ILAYOUT,NAGASHETTIHALLI, , Bangalore, BENGALURU URBAN (Karnataka) - 560094","Agriculture, Art & Culture, Children, Differently Abled, Education & Literacy",ALL,swasthifss@gmail.com,http://www.swasthifoundation.com/
1173,SWASTHI FOUNDATION,121/2011-12,Trust,"No. 1701, 14th Main, 30th Cross, Banashankari, 2nd Stage , Bangalore, BENGALURU URBAN (Karnataka) - 560070","Art & Culture, Differently Abled, Education & Literacy, Health & Family Welfare",ALL,UBPRAVIN@GMAIL.COM,
1174,SWASTHIK CHARITABLE TRUST,IV16120182,Trust,"No 29/1 , 5th Main Road, Agrahara Dasarahalli, Bengaluru 560079 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560079","Human Rights, Rural Development & Poverty Alleviation, Sports, Women's Development & Empowerment, Youth Affairs",BENGALURU URBAN,swastikyathish8@gmail.com,
1175,SWASTI VIKASA FOUNDATION,BYP-4-00445-2021-22,Trust,"No.31, 2nd Floor, 5th Cross, Hanumaiaha Layout, Kodgehalli, Sahakaranagar Post, Bangalore-560092 , BANGALORE, BENGALURU URBAN (Karnataka) - 560092","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,swastivikasafoundation@gmail.com,
1176,SWAYAM SIDDHA TRUST,962/2024-25,Trust,"147,5th Cross, 21st Main Road, HSR Bus Depo Sector 1, HSR Layout, Bangalore-560102 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560067","Education & Literacy, Environment & Forests, Health & Family Welfare, Micro Finance (SHGs), Panchayati Raj",BALESHWAR,swayamsiddhatrust3@gmail.com,
1177,SYERAA FOUNDATION,U88900KA2024NPL188709,Section 8 Company,"174, 1ST FLOOR, ASHRAMA, BIDARAHALLI , Bhattarahalli, BENGALURU URBAN (Karnataka) - 560049","Agriculture, Children, Differently Abled, Disaster Management, Drinking Water",ALL,kishore7858@gmail.com,
1178,SYOG FOUNDATION,BNS-4-00153-2024-25,Trust,"A303 Ajmera Arista Service Road Off Outer Ring Road Kalyan Nagar Bangalore 560043 Karnataka , Bengaluru East, BENGALURU URBAN (Karnataka) - 560043",Children,BENGALURU URBAN,shankarssm4u@gmail.com,
1179,T K M EDUCATIONAL AND CHARITABLE TRUST,BKIV521/23-24,Trust,"791, 2nd Cross, 2nd Main, Near Abubakar Masjid, Thanisandra, Dr.Shivarama Karanth Nagar Post, Bangalore-560 077. , Bengaluru South, BENGALURU URBAN (Karnataka) - 560077","Education & Literacy, Aged/Elderly, Human Rights, Women's Development & Empowerment",BENGALURU URBAN,tkmeducationaltrust@gmail.com,
1180,Tangience Foundation,BKIV-1187,Trust,"No 27 T P Venugopal Layout Anand Nagar , Bangalore, BENGALURU URBAN (Karnataka) - 560024",Differently Abled,ALL,rtnmohan@gmail.com,
1181,TARAA FOUNDATION,RRN-4-00433/2025-26,Trust,"NO 343, REDDY COMPLEX, 1ST FLOOR, BGS HOSPITAL ROAD, GLOBAL VILLAGE BACK GATE, MYLASANDRA, KENGERI HOBLI, BANGALORE , Bengaluru South, BENGALURU URBAN (Karnataka) - 560059","Education & Literacy, Aged/Elderly, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research",ALL,info.taraafoundation@gmail.com,
1182,TEA TREE FOUNDATION,KEN-4-00410-2021-22,Trust,"2A 3 Plot No.37 Off Hosur Road 2nd Floor AECS Layout-A Block SingasandraBangaluru-560068 , Bangalore, BENGALURU URBAN (Karnataka) - 560068","Children, Civic Issues, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,contact@teatreefoundation.co.in,
